	"names"	"clusters"
"687"	"DNAJC10"	18
"688"	"DNAJC11"	2
"689"	"DNAJC12"	6
"690"	"DNAJC18"	16
"691"	"DNAJC30"	16
"692"	"DNALI1"	1
"693"	"DNASE1"	2
"694"	"DNMT1"	4
"695"	"DNTTIP2"	10
"696"	"DOC2A"	15
"697"	"DONSON"	16
"698"	"DOPEY2"	6
"699"	"DPAGT1"	9
"700"	"DPEP1"	8
"701"	"DPM1"	10
"702"	"DPM3"	15
"703"	"DPP4"	10
"704"	"DPPA4"	10
"705"	"DPYSL3"	14
"706"	"DSC2"	10
"707"	"DSG2"	10
"708"	"DSN1"	10
"709"	"DST"	6
"710"	"DTD1"	15
"711"	"DTNA"	15
"712"	"DTNB"	10
"713"	"DUSP1"	9
"714"	"DUSP16"	15
"715"	"DUSP5"	12
"716"	"DUSP6"	18
"717"	"DUSP9"	13
"718"	"DUT"	15
"719"	"DVL2"	16
"720"	"DYNC2H1"	15
"721"	"DYRK4"	4
"722"	"DZIP1"	1
"723"	"E2F8"	19
"724"	"EBF4"	15
"725"	"EBP"	10
"726"	"EBPL"	16
"727"	"ECE1"	16
"728"	"ECHDC2"	20
"729"	"ECI2"	19
"730"	"EDN1"	15
"731"	"EDN3"	10
"732"	"EDNRA"	18
"733"	"EDNRB"	12
"734"	"EEA1"	10
"735"	"EEF1B2"	1
"736"	"EEF2KMT"	16
"737"	"EFEMP2"	15
"738"	"EFNA4"	15
"739"	"EFNB1"	16
"740"	"EFNB2"	17
"741"	"EFR3B"	1
"742"	"EGFL7"	6
"743"	"EGLN3"	18
"744"	"EGR1"	15
"745"	"EHD4"	2
"746"	"EID1"	4
"747"	"EIF2AK4"	17
"748"	"EIF2S3"	1
"749"	"EIF4G2"	10
"750"	"EIF4G3"	4
"751"	"EIF5A"	12
"752"	"ELAC2"	9
"753"	"ELAVL4"	10
"754"	"ELF3"	6
"755"	"ELK3"	1
"756"	"ELMO3"	12
"757"	"ELMSAN1"	9
"758"	"ELOVL5"	8
"759"	"ELOVL7"	13
"760"	"EMC1"	19
"761"	"EMILIN1"	2
"762"	"EMP2"	15
"763"	"EMP3"	10
"764"	"ENC1"	20
"765"	"ENDOD1"	1
"766"	"ENO1"	15
"767"	"ENPP7"	7
"768"	"ENSA"	16
"769"	"ENTPD6"	10
"770"	"EP400"	4
"771"	"EPB41L2"	15
"772"	"EPB41L3"	6
"773"	"EPB41L4A_AS1"	1
"774"	"EPCAM"	6
"775"	"EPHA4"	16
"776"	"EPHA6"	10
"777"	"EPHA7"	9
"778"	"EPHB1"	1
"779"	"EPHB2"	1
"780"	"EPHB3"	8
"781"	"EPHB4"	14
"782"	"EPHX1"	9
"783"	"EPHX2"	9
"784"	"EPM2AIP1"	6
"785"	"EPN2"	2
"786"	"EPS8"	4
"787"	"EPSTI1"	15
"788"	"ERAP1"	16
"789"	"ERAP2"	18
"790"	"ERBB2"	19
"791"	"ERBB3"	1
"792"	"ERC1"	19
"793"	"ERCC6L2"	15
"794"	"EREG"	13
"795"	"ERF"	1
"796"	"ERICH1"	8
"797"	"ERO1B"	6
"798"	"ERP27"	18
"799"	"ERP29"	9
"800"	"ERRFI1"	9
"801"	"ERV3_1"	9
"802"	"ESAM"	16
"803"	"ESF1"	19
"804"	"ETV1"	6
"805"	"ETV4"	6
"806"	"ETV5"	14
"807"	"EVA1B"	2
"808"	"EVL"	2
"809"	"EXD3"	6
"810"	"EXOC7"	9
"811"	"EXT2"	15
"812"	"EZR"	15
"813"	"F10"	10
"814"	"F2RL1"	6
"815"	"FABP1"	12
"816"	"FABP5"	15
"817"	"FABP6"	12
"818"	"FADS1"	13
"819"	"FADS2"	13
