	"names"	"clusters"
"618"	"DPYSL4"	6
"619"	"DSP"	3
"620"	"DSTN"	11
"621"	"DTWD1"	2
"622"	"DTYMK"	1
"623"	"DUSP1"	4
"624"	"DUSP10"	6
"625"	"DUSP2"	16
"626"	"DUSP26"	6
"627"	"DUSP4"	13
"628"	"DUSP6"	19
"629"	"DUT"	9
"630"	"DYNC1H1"	14
"631"	"DYNC1LI1"	14
"632"	"DYNC1LI2"	1
"633"	"DYNC2H1"	2
"634"	"DYNLRB1"	13
"635"	"DYNLT1"	9
"636"	"DYNLT3"	20
"637"	"E2F3"	14
"638"	"EBF1"	15
"639"	"EBPL"	7
"640"	"ECH1"	1
"641"	"ECHDC2"	16
"642"	"ECI1"	13
"643"	"EDIL3"	17
"644"	"EDN3"	4
"645"	"EDNRA"	2
"646"	"EDNRB"	6
"647"	"EFEMP1"	4
"648"	"EFEMP2"	13
"649"	"EFNA1"	2
"650"	"EFNA4"	7
"651"	"EFNA5"	7
"652"	"EFNB1"	5
"653"	"EFNB2"	16
"654"	"EFNB3"	2
"655"	"EGFL6"	1
"656"	"EGLN3"	9
"657"	"EGR1"	7
"658"	"EGR2"	7
"659"	"EHBP1"	14
"660"	"EHBP1L1"	20
"661"	"EHD2"	20
"662"	"EHMT1"	2
"663"	"EI24"	13
"664"	"EIF1B"	7
"665"	"EIF2S3"	7
"666"	"EIF3D"	7
"667"	"EIF3E"	2
"668"	"EIF3M"	18
"669"	"EIF5A"	13
"670"	"ELAVL3"	6
"671"	"ELAVL4"	11
"672"	"ELK3"	2
"673"	"ELN"	20
"674"	"EMC7"	1
"675"	"EMC9"	20
"676"	"EMCN"	3
"677"	"EMILIN1"	19
"678"	"EMP2"	9
"679"	"EMP3"	20
"680"	"ENAH"	11
"681"	"ENG"	17
"682"	"ENO1"	14
"683"	"ENO2"	6
"684"	"ENOX1"	2
"685"	"ENPP2"	20
"686"	"EPB41L2"	8
"687"	"EPB41L3"	4
"688"	"EPB41L4A_AS1"	8
"689"	"EPCAM"	1
"690"	"EPHA4"	4
"691"	"EPHX1"	4
"692"	"EPS8"	19
"693"	"EPSTI1"	9
"694"	"ERC1"	14
"695"	"ERRFI1"	3
"696"	"ESYT2"	6
"697"	"ETHE1"	16
"698"	"ETNK1"	7
"699"	"ETS1"	2
"700"	"ETS2"	19
"701"	"ETV1"	3
"702"	"ETV5"	3
"703"	"ETV6"	6
"704"	"EVA1B"	3
"705"	"EVL"	3
"706"	"EXOSC6"	5
"707"	"EXT1"	14
"708"	"EXT2"	1
"709"	"EZR"	4
"710"	"F2R"	12
"711"	"F3"	1
"712"	"FABP1"	10
"713"	"FABP5"	10
"714"	"FAHD2B"	20
"715"	"FAM101B"	2
"716"	"FAM110B"	7
"717"	"FAM111A"	20
"718"	"FAM114A1"	14
"719"	"FAM127A"	13
"720"	"FAM135A"	2
"721"	"FAM171A2"	2
"722"	"FAM175A"	2
"723"	"FAM198B"	3
"724"	"FAM213A"	9
"725"	"FAM213B"	16
"726"	"FAM217B"	2
"727"	"FAM3C"	1
"728"	"FAM43A"	20
"729"	"FAM53C"	2
"730"	"FAM57B"	1
"731"	"FAM60A"	2
"732"	"FAM63B"	13
"733"	"FAM64A"	9
"734"	"FAM69B"	2
"735"	"FAM83D"	9
"736"	"FAM89A"	3
"737"	"FAM95B1"	16
"738"	"FAP"	1
"739"	"FAT4"	2
"740"	"FBLN1"	19
"741"	"FBLN5"	4
"742"	"FBN1"	17
"743"	"FBN2"	14
"744"	"FBRSL1"	2
"745"	"FBXO17"	18
"746"	"FBXO22"	6
"747"	"FBXO3"	7
"748"	"FBXO32"	7
"749"	"FBXO5"	20
"750"	"FCGRT"	9
"751"	"FENDRR"	7
"752"	"FERMT2"	11
"753"	"FEZ1"	9
"754"	"FGB"	9
"755"	"FGD4"	14
"756"	"FGF7"	8
"757"	"FGF9"	4
"758"	"FGFR1"	7
"759"	"FGFR2"	5
"760"	"FGG"	1
"761"	"FGL2"	1
"762"	"FHDC1"	20
"763"	"FHL1"	11
"764"	"FHL2"	10
"765"	"FHL3"	7
"766"	"FIBIN"	8
"767"	"FIGN"	4
"768"	"FILIP1"	10
"769"	"FILIP1L"	19
"770"	"FIP1L1"	14
"771"	"FJX1"	4
"772"	"FKBP11"	20
"773"	"FKBP1B"	4
"774"	"FKBP7"	5
"775"	"FLJ37453"	2
"776"	"FLNA"	10
"777"	"FLNB"	2
"778"	"FLNC"	20
"779"	"FLRT2"	12
"780"	"FLRT3"	12
"781"	"FLT1"	3
"782"	"FMOD"	4
"783"	"FN1"	10
"784"	"FNBP1"	6
"785"	"FNDC1"	12
"786"	"FNDC3B"	17
"787"	"FOLH1"	7
"788"	"FOS"	14
"789"	"FOSB"	4
