	"names"	"clusters"
"593"	"FAM57B"	3
"594"	"FAM63B"	16
"595"	"FAM64A"	2
"596"	"FAM84B"	1
"597"	"FAM89B"	2
"598"	"FAM92A1"	5
"599"	"FAM96A"	5
"600"	"FAP"	12
"601"	"FAR1"	14
"602"	"FBLN1"	11
"603"	"FBLN5"	11
"604"	"FBN1"	20
"605"	"FBXL22"	2
"606"	"FBXL3"	9
"607"	"FBXO17"	5
"608"	"FBXO21"	20
"609"	"FBXO32"	2
"610"	"FBXW11"	9
"611"	"FCGRT"	20
"612"	"FENDRR"	10
"613"	"FERMT2"	16
"614"	"FGB"	7
"615"	"FGD4"	12
"616"	"FGF13"	2
"617"	"FGF7"	3
"618"	"FGF9"	1
"619"	"FGFR1OP2"	12
"620"	"FGFR2"	5
"621"	"FGFR4"	19
"622"	"FGG"	6
"623"	"FHL1"	10
"624"	"FHL2"	13
"625"	"FIBIN"	11
"626"	"FIGN"	18
"627"	"FILIP1"	15
"628"	"FILIP1L"	2
"629"	"FJX1"	12
"630"	"FKBP10"	20
"631"	"FKBP11"	7
"632"	"FKBP14"	5
"633"	"FKBP1B"	1
"634"	"FKBP5"	9
"635"	"FKBP9"	20
"636"	"FLNA"	15
"637"	"FLNB"	1
"638"	"FLNC"	1
"639"	"FLRT2"	3
"640"	"FLRT3"	3
"641"	"FMOD"	14
"642"	"FNBP1"	16
"643"	"FNDC1"	11
"644"	"FOLH1"	7
"645"	"FOS"	20
"646"	"FOXF1"	20
"647"	"FOXF2"	5
"648"	"FRAS1"	18
"649"	"FREM2"	16
"650"	"FRMD4A"	2
"651"	"FRMD4B"	7
"652"	"FRMD6_AS2"	2
"653"	"FRZB"	11
"654"	"FSD1"	2
"655"	"FST"	17
"656"	"FTL"	9
"657"	"FXYD7"	1
"658"	"FZD1"	5
"659"	"FZD5"	2
"660"	"FZD7"	2
"661"	"G2E3"	1
"662"	"GAL"	2
"663"	"GALE"	7
"664"	"GALM"	12
"665"	"GALNT9"	5
"666"	"GAP43"	6
"667"	"GAS1"	3
"668"	"GAS6"	1
"669"	"GBP1"	1
"670"	"GBP2"	15
"671"	"GCHFR"	7
"672"	"GDAP1L1"	1
"673"	"GDNF"	3
"674"	"GEM"	5
"675"	"GFOD2"	1
"676"	"GFRA1"	16
"677"	"GIPC1"	13
"678"	"GLCCI1"	2
"679"	"GLCE"	7
"680"	"GLIPR1"	1
"681"	"GLIPR2"	2
"682"	"GLIS2"	5
"683"	"GLS"	1
"684"	"GLT8D2"	11
"685"	"GLUD1"	7
"686"	"GMEB1"	9
"687"	"GMFB"	9
"688"	"GMFG"	5
"689"	"GNAI1"	20
"690"	"GNAO1"	1
"691"	"GNAQ"	1
"692"	"GNAS"	3
"693"	"GNG11"	11
"694"	"GNG3"	3
"695"	"GNG4"	1
"696"	"GNG5"	2
"697"	"GNL1"	7
"698"	"GNL3"	9
"699"	"GOLM1"	9
"700"	"GON4L"	13
"701"	"GPATCH11"	20
"702"	"GPATCH4"	12
"703"	"GPBAR1"	3
"704"	"GPBP1"	12
"705"	"GPC1"	7
"706"	"GPC3"	7
"707"	"GPC4"	11
"708"	"GPC6"	11
"709"	"GPM6B"	7
"710"	"GPR137"	12
"711"	"GPR155"	5
"712"	"GPR20"	3
"713"	"GPSM3"	20
"714"	"GREM1"	2
"715"	"GREM2"	15
"716"	"GRK5"	20
"717"	"GRP"	3
"718"	"GSTA1"	17
"719"	"GSTA2"	7
"720"	"GSTM3"	7
"721"	"GSTM5"	20
"722"	"GSTO2"	1
"723"	"GTF2IRD2B"	20
"724"	"GUCY1A3"	4
"725"	"GUCY1B3"	11
"726"	"GYPC"	20
"727"	"H1F0"	5
"728"	"H2AFJ"	7
"729"	"H3F3B"	20
"730"	"HAAO"	5
"731"	"HACD1"	16
"732"	"HACD3"	1
"733"	"HAGH"	1
"734"	"HAND1"	2
"735"	"HAND2_AS1"	3
"736"	"HBA1"	11
"737"	"HBA2"	11
"738"	"HBB"	11
"739"	"HBE1"	12
"740"	"HBG1"	20
"741"	"HBG2"	11
"742"	"HBM"	12
"743"	"HBS1L"	5
"744"	"HBZ"	13
"745"	"HDAC5"	7
"746"	"HEBP1"	1
"747"	"HEBP2"	2
"748"	"HECTD1"	7
"749"	"HEG1"	5
"750"	"HELLS"	9
"751"	"HEPH"	1
"752"	"HES1"	11
"753"	"HES4"	1
"754"	"HES6"	1
"755"	"HEXB"	1
"756"	"HHIP"	15
"757"	"HHIP_AS1"	10
"758"	"HIC1"	11
"759"	"HIF3A"	14
"760"	"HINT1"	3
"761"	"HIST1H1D"	18
"762"	"HIST1H2AC"	7
"763"	"HIST1H2BJ"	2
"764"	"HIST1H4C"	2
"765"	"HIST3H2A"	7
"766"	"HK1"	2
"767"	"HLA_DPB1"	20
"768"	"HLX"	11
"769"	"HMG20B"	2
"770"	"HMGA1"	17
"771"	"HMGA2"	7
"772"	"HMGB2"	2
"773"	"HMGCR"	7
"774"	"HMGN2"	5
"775"	"HMGN3"	2
"776"	"HN1"	16
"777"	"HNRNPA1L2"	11
"778"	"HNRNPDL"	7
"779"	"HNRNPH1"	20
"780"	"HNRNPH2"	20
"781"	"HNRNPR"	7
"782"	"HNRNPU_AS1"	1
"783"	"HOOK2"	3
"784"	"HOPX"	1
"785"	"HOTAIRM1"	10
"786"	"HOXA2"	5
"787"	"HOXA3"	5
"788"	"HOXA4"	10
"789"	"HOXA5"	2
"790"	"HOXA7"	6
"791"	"HOXB2"	5
"792"	"HOXB4"	2
"793"	"HOXB5"	15
"794"	"HOXB6"	9
"795"	"HOXB8"	7
"796"	"HOXB_AS1"	5
"797"	"HOXB_AS3"	10
"798"	"HOXC5"	2
"799"	"HOXC6"	6
"800"	"HOXC8"	7
"801"	"HPCAL1"	1
"802"	"HPGD"	1
"803"	"HPN"	7
"804"	"HPSE2"	20
"805"	"HSBP1L1"	3
"806"	"HSD17B2"	7
"807"	"HSPA12A"	11
"808"	"HSPA12B"	20
"809"	"HSPA1A"	2
"810"	"HSPA1B"	2
"811"	"HSPA2"	1
"812"	"HSPA5"	20
"813"	"HSPA6"	2
"814"	"HSPB1"	15
"815"	"HSPB6"	14
"816"	"HSPD1"	7
"817"	"HSPG2"	2
"818"	"HTR2B"	2
"819"	"HTRA1"	13
"820"	"HTRA3"	11
"821"	"HUWE1"	1
"822"	"ICA1"	1
"823"	"ID1"	17
"824"	"ID2"	3
"825"	"ID3"	20
"826"	"ID4"	1
"827"	"IDH1"	7
"828"	"IDS"	16
"829"	"IER2"	20
"830"	"IER3"	2
"831"	"IER3IP1"	5
"832"	"IER5"	2
"833"	"IFI16"	20
"834"	"IFI27L2"	10
"835"	"IFIT1"	7
