	"names"	"clusters"
"482"	"C1orf122"	5
"483"	"C1orf198"	3
"484"	"C1orf21"	4
"485"	"C1orf56"	9
"486"	"C1orf74"	13
"487"	"C2"	4
"488"	"C21orf58"	4
"489"	"C21orf62"	16
"490"	"C22orf39"	9
"491"	"C2orf40"	9
"492"	"C2orf54"	13
"493"	"C2orf68"	16
"494"	"C2orf72"	4
"495"	"C2orf82"	13
"496"	"C3orf70"	9
"497"	"C4orf27"	19
"498"	"C4orf46"	9
"499"	"C4orf48"	4
"500"	"C5"	19
"501"	"C5orf15"	4
"502"	"C5orf30"	19
"503"	"C6"	19
"504"	"C6orf136"	13
"505"	"C6orf141"	13
"506"	"C6orf226"	9
"507"	"C6orf52"	12
"508"	"C7orf50"	9
"509"	"C7orf55"	16
"510"	"C8orf4"	3
"511"	"C8orf59"	4
"512"	"C9orf114"	5
"513"	"C9orf116"	9
"514"	"C9orf152"	3
"515"	"C9orf16"	4
"516"	"C9orf40"	13
"517"	"C9orf64"	5
"518"	"C9orf72"	5
"519"	"C9orf9"	5
"520"	"CA12"	10
"521"	"CA2"	2
"522"	"CA3"	7
"523"	"CACNA1D"	8
"524"	"CACNA2D1"	12
"525"	"CACNB2"	16
"526"	"CACNB3"	16
"527"	"CACUL1"	9
"528"	"CACYBP"	13
"529"	"CADM1"	3
"530"	"CADM4"	4
"531"	"CALCOCO2"	3
"532"	"CALD1"	5
"533"	"CALML4"	5
"534"	"CALU"	4
"535"	"CAMK2N1"	4
"536"	"CAMKV"	19
"537"	"CANT1"	4
"538"	"CANX"	13
"539"	"CAP2"	4
"540"	"CAPG"	8
"541"	"CAPN12"	13
"542"	"CAPN2"	4
"543"	"CAPN3"	19
"544"	"CAPN5"	4
"545"	"CAPN6"	7
"546"	"CAPN8"	9
"547"	"CAPS"	4
"548"	"CARD10"	9
"549"	"CARD11"	16
"550"	"CARD19"	4
"551"	"CARD8_AS1"	5
"552"	"CARF"	16
"553"	"CARHSP1"	4
"554"	"CARKD"	9
"555"	"CARMN"	5
"556"	"CASC10"	13
"557"	"CASC15"	4
"558"	"CASC3"	16
"559"	"CASC4"	9
"560"	"CASK"	19
"561"	"CASP10"	19
"562"	"CASP4"	12
"563"	"CASP6"	19
"564"	"CASP8AP2"	9
"565"	"CAST"	12
"566"	"CAV1"	14
"567"	"CAV2"	12
"568"	"CBFA2T2"	4
"569"	"CBFB"	5
"570"	"CBWD1"	9
"571"	"CBWD2"	3
"572"	"CBWD3"	3
"573"	"CBX1"	16
"574"	"CBX2"	9
"575"	"CBX5"	9
"576"	"CBX6"	15
"577"	"CBY1"	9
"578"	"CCAR2"	9
"579"	"CCDC102A"	4
"580"	"CCDC107"	16
"581"	"CCDC112"	4
"582"	"CCDC122"	3
"583"	"CCDC125"	5
"584"	"CCDC127"	16
"585"	"CCDC130"	4
"586"	"CCDC14"	4
"587"	"CCDC167"	4
"588"	"CCDC18"	9
"589"	"CCDC183"	16
"590"	"CCDC186"	16
"591"	"CCDC24"	4
"592"	"CCDC25"	13
"593"	"CCDC28B"	4
"594"	"CCDC30"	9
"595"	"CCDC47"	14
"596"	"CCDC66"	16
"597"	"CCDC68"	3
"598"	"CCDC69"	13
"599"	"CCDC8"	4
"600"	"CCDC80"	8
"601"	"CCDC82"	9
"602"	"CCDC88A"	1
"603"	"CCL15"	13
"604"	"CCL25"	2
"605"	"CCNA2"	3
"606"	"CCNB1"	15
"607"	"CCNB1IP1"	5
"608"	"CCNB2"	4
"609"	"CCND1"	8
"610"	"CCND2"	12
"611"	"CCND3"	3
"612"	"CCNF"	9
"613"	"CCNG2"	4
"614"	"CCNI"	3
"615"	"CCNJ"	4
"616"	"CCNK"	9
"617"	"CCPG1"	4
"618"	"CCZ1"	5
"619"	"CD151"	9
"620"	"CD164"	8
"621"	"CD1D"	19
"622"	"CD200"	8
"623"	"CD24"	8
"624"	"CD248"	9
"625"	"CD276"	4
"626"	"CD302"	12
"627"	"CD3G"	7
"628"	"CD46"	4
"629"	"CD47"	13
"630"	"CD55"	4
"631"	"CD58"	19
"632"	"CD59"	4
"633"	"CD63"	16
"634"	"CD68"	12
"635"	"CD7"	9
"636"	"CD74"	1
"637"	"CD81"	3
"638"	"CD82"	4
"639"	"CD8B"	9
"640"	"CD9"	10
"641"	"CD99"	4
"642"	"CDC20"	4
"643"	"CDC34"	5
"644"	"CDC37L1_AS1"	7
"645"	"CDC42EP1"	4
"646"	"CDC42EP2"	9
"647"	"CDC42EP3"	4
"648"	"CDC42EP4"	9
"649"	"CDC42EP5"	5
"650"	"CDC42SE1"	4
"651"	"CDC42SE2"	15
"652"	"CDC73"	16
"653"	"CDCA2"	9
"654"	"CDCA7"	19
"655"	"CDCA7L"	4
"656"	"CDCA8"	16
"657"	"CDCP1"	7
"658"	"CDH13"	9
"659"	"CDH17"	4
"660"	"CDH2"	13
"661"	"CDH24"	4
"662"	"CDH3"	8
"663"	"CDH6"	13
"664"	"CDH7"	8
"665"	"CDHR2"	19
"666"	"CDHR5"	19
"667"	"CDK1"	9
"668"	"CDK14"	9
"669"	"CDK19"	16
"670"	"CDK2"	4
"671"	"CDK2AP1"	4
"672"	"CDKN1A"	11
"673"	"CDKN1B"	13
"674"	"CDKN2D"	16
"675"	"CDKN3"	3
"676"	"CDPF1"	3
"677"	"CDS1"	19
"678"	"CDS2"	4
"679"	"CDV3"	16
"680"	"CDX1"	4
"681"	"CDYL"	9
"682"	"CEACAM1"	19
"683"	"CEACAM6"	18
"684"	"CEBPA"	12
"685"	"CEBPB"	4
"686"	"CEBPD"	5
"687"	"CECR2"	4
"688"	"CELF2"	4
"689"	"CELF3"	19
"690"	"CELF4"	13
"691"	"CELSR1"	9
"692"	"CELSR2"	4
"693"	"CENPA"	4
"694"	"CENPE"	9
"695"	"CENPF"	4
"696"	"CENPH"	4
"697"	"CENPK"	7
"698"	"CENPT"	3
"699"	"CENPU"	9
"700"	"CENPV"	13
"701"	"CEP112"	4
"702"	"CEP128"	16
"703"	"CEP131"	4
"704"	"CEP135"	16
"705"	"CEP152"	13
"706"	"CEP55"	16
"707"	"CEP57L1"	19
"708"	"CEP68"	4
"709"	"CEP85"	3
"710"	"CEP85L"	9
"711"	"CERCAM"	9
"712"	"CERK"	4
"713"	"CERS4"	19
"714"	"CERS5"	16
"715"	"CERS6"	13
"716"	"CES2"	2
"717"	"CETN2"	16
"718"	"CETN3"	4
"719"	"CFAP20"	16
"720"	"CFAP221"	19
"721"	"CFAP36"	4
"722"	"CFD"	4
"723"	"CFI"	7
"724"	"CFL2"	3
"725"	"CFTR"	1
"726"	"CGGBP1"	9
"727"	"CGNL1"	4
"728"	"CH17_340M24_3"	19
"729"	"CH507_254M2_3"	4
"730"	"CHCHD10"	2
"731"	"CHCHD3"	19
"732"	"CHD4"	9
"733"	"CHD6"	16
"734"	"CHD7"	9
"735"	"CHD9"	16
"736"	"CHDH"	4
"737"	"CHGA"	2
"738"	"CHKA"	13
"739"	"CHMP1B"	4
"740"	"CHMP3"	16
"741"	"CHMP4B"	16
"742"	"CHMP4C"	1
"743"	"CHN1"	4
"744"	"CHN2"	13
"745"	"CHP1"	3
"746"	"CHP2"	12
"747"	"CHPF"	9
"748"	"CHRAC1"	1
"749"	"CHRNB1"	9
"750"	"CHST12"	9
"751"	"CHST13"	9
"752"	"CHST3"	16
"753"	"CHST9"	19
"754"	"CHSY1"	3
"755"	"CHURC1"	9
"756"	"CIART"	4
"757"	"CIB2"	12
"758"	"CIDEB"	19
"759"	"CIRBP"	8
"760"	"CISD1"	12
"761"	"CISD3"	13
"762"	"CIT"	16
"763"	"CITED2"	4
"764"	"CKAP2"	16
"765"	"CKAP2L"	9
"766"	"CKAP4"	8
"767"	"CKAP5"	16
"768"	"CKB"	8
"769"	"CKLF"	16
"770"	"CKS1B"	9
"771"	"CLASP2"	1
"772"	"CLCA1"	12
"773"	"CLCF1"	16
"774"	"CLCN3"	4
"775"	"CLCN5"	13
"776"	"CLDN12"	16
"777"	"CLDN15"	19
"778"	"CLDN2"	12
"779"	"CLDN3"	12
"780"	"CLDN4"	9
"781"	"CLDN5"	7
"782"	"CLDN6"	7
"783"	"CLDN7"	13
"784"	"CLDND1"	16
"785"	"CLDND2"	5
"786"	"CLEC11A"	9
"787"	"CLEC2D"	4
"788"	"CLHC1"	9
"789"	"CLIC3"	9
"790"	"CLINT1"	4
"791"	"CLIP1"	14
"792"	"CLIP2"	4
"793"	"CLIP3"	19
"794"	"CLK1"	9
"795"	"CLMN"	4
"796"	"CLN3"	8
"797"	"CLSTN1"	8
"798"	"CLU"	8
"799"	"CLUH"	13
"800"	"CMB9_22P13_1"	1
"801"	"CMSS1"	8
"802"	"CMTM3"	4
"803"	"CMTM4"	9
"804"	"CMTM6"	4
"805"	"CNKSR1"	4
"806"	"CNKSR3"	8
"807"	"CNN1"	5
"808"	"CNN2"	8
"809"	"CNN3"	8
"810"	"CNNM4"	4
"811"	"CNOT7"	16
"812"	"CNOT8"	3
"813"	"CNPY4"	5
"814"	"CNTLN"	19
"815"	"CNTN3"	4
"816"	"CNTN4"	4
"817"	"CNTNAP2"	13
"818"	"CNTROB"	16
"819"	"COA6"	19
"820"	"COG5"	13
"821"	"COL11A2"	7
"822"	"COL14A1"	10
"823"	"COL16A1"	9
"824"	"COL18A1"	8
"825"	"COL1A1"	9
"826"	"COL1A2"	3
"827"	"COL21A1"	4
"828"	"COL26A1"	4
"829"	"COL27A1"	4
"830"	"COL2A1"	10
"831"	"COL3A1"	4
"832"	"COL4A1"	4
"833"	"COL4A2"	8
"834"	"COL5A1"	5
"835"	"COL5A2"	16
"836"	"COL6A1"	19
"837"	"COL6A2"	5
"838"	"COL6A3"	14
"839"	"COL9A1"	7
"840"	"COLCA1"	8
"841"	"COLCA2"	4
"842"	"COLGALT1"	9
"843"	"COMMD6"	4
"844"	"COMTD1"	12
"845"	"COPG1"	7
"846"	"COPG2"	4
"847"	"COPS7A"	14
"848"	"COQ10A"	16
"849"	"COQ10B"	4
"850"	"CORO1A"	7
"851"	"CORO1C"	4
"852"	"CORO2A"	13
"853"	"CORO7"	19
"854"	"COTL1"	14
"855"	"COX16"	5
"856"	"COX17"	9
"857"	"COX4I1"	19
"858"	"COX6A1"	16
"859"	"COX6C"	4
"860"	"COX7A2"	4
"861"	"COX7B"	13
"862"	"COX7C"	19
"863"	"CPA2"	19
"864"	"CPAMD8"	4
"865"	"CPE"	9
"866"	"CPM"	3
"867"	"CPN1"	4
"868"	"CPNE2"	3
"869"	"CPNE8"	15
"870"	"CPQ"	11
"871"	"CPS1"	2
"872"	"CPVL"	12
"873"	"CPXM1"	1
"874"	"CRABP1"	10
"875"	"CRABP2"	9
"876"	"CRACR2B"	4
"877"	"CRB2"	4
